kd get the file list in the path: kd\       Sat Jun 17 20:00:55 2017
tailuzhecom download the file tailuzhecom\M12.mp3 successfully       Wed Jun 21 04:01:05 2017

tailuzhecom log out       Wed Jun 21 04:01:07 2017

tailuzhecom login       Wed Jun 21 23:06:38 2017

tailuzhecom get the file list in the path: tailuzhecom\       Wed Jun 21 23:06:40 2017

tailuzhecom makes directory tailuzhecom\ b       Wed Jun 21 23:06:43 2017

tailuzhecom log out       Wed Jun 21 23:06:48 2017

tailuzhecom login       Wed Jun 21 23:10:14 2017

tailuzhecom get the file list in the path: tailuzhecom\       Wed Jun 21 23:10:16 2017

tailuzhecom makes directory tailuzhecom\ b       Wed Jun 21 23:10:25 2017

tailuzhecom log out       Wed Jun 21 23:10:32 2017

tailuzhecom login       Thu Jun 22 09:04:15 2017

tailuzhecom get the file list in the path: tailuzhecom\       Thu Jun 22 09:04:18 2017

tailuzhecom login       Thu Jun 22 09:05:30 2017

tailuzhecom get the file list in the path: tailuzhecom\       Thu Jun 22 09:05:35 2017

tailuzhecom remove directory tailuzhecom\ a       Thu Jun 22 09:05:38 2017

tailuzhecom makes directory tailuzhecom\ a       Thu Jun 22 09:05:51 2017

tailuzhecom log out       Thu Jun 22 09:05:58 2017

tailuzhecom login       Thu Jun 22 09:10:54 2017

tailuzhecom get the file list in the path: tailuzhecom\       Thu Jun 22 09:11:01 2017

kd login       Thu Jun 22 09:12:02 2017

tailuzhecom login       Thu Jun 22 09:12:42 2017

tailuzhecom get the file list in the path: tailuzhecom\       Thu Jun 22 09:12:43 2017

tailuzhecom makes directory tailuzhecom\ d       Thu Jun 22 09:12:50 2017

tailuzhecom get the file list in the path: tailuzhecom\       Thu Jun 22 09:12:52 2017

tailuzhecom remove directory tailuzhecom\ d       Thu Jun 22 09:13:00 2017

tailuzhecom remove directory tailuzhecom\ c       Thu Jun 22 09:13:03 2017

tailuzhecom remove directory tailuzhecom\ b       Thu Jun 22 09:13:06 2017

tailuzhecom log out       Thu Jun 22 09:13:17 2017

tailuzhecom login       Thu Jun 22 09:28:00 2017

tailuzhecom get the file list in the path: tailuzhecom\       Thu Jun 22 09:28:05 2017

tailuzhecom cd to the path : tailuzhecom\a\       Thu Jun 22 09:28:08 2017

tailuzhecom get the file list in the path: tailuzhecom\a\       Thu Jun 22 09:28:10 2017

tailuzhecom log out       Thu Jun 22 09:28:22 2017

tailuzhecom login       Thu Jun 22 09:32:18 2017

tailuzhecom get the file list in the path: tailuzhecom\       Thu Jun 22 09:32:26 2017

tailuzhecom remove file tailuzhecom\ M12.mp3       Thu Jun 22 09:32:53 2017

tailuzhecom get the file list in the path: tailuzhecom\       Thu Jun 22 09:33:13 2017

tailuzhecom upload the file tailuzhecom\M12.mp3 successfully       Thu Jun 22 09:33:18 2017

tailuzhecom log out       Thu Jun 22 09:33:22 2017

tailuzhecom login       Thu Jun 22 09:35:57 2017

tailuzhecom get the file list in the path: tailuzhecom\       Thu Jun 22 09:36:00 2017

tailuzhecom remove directory tailuzhecom\ a       Thu Jun 22 09:36:03 2017

tailuzhecom log out       Thu Jun 22 09:36:20 2017

tailuzhecom login       Thu Jun 22 09:41:42 2017

tailuzhecom get the file list in the path: tailuzhecom\       Thu Jun 22 09:46:26 2017

tailuzhecom get the file list in the path: tailuzhecom\       Thu Jun 22 09:46:30 2017

tailuzhecom log out       Thu Jun 22 09:49:06 2017

